Istituto Principale,Scuola,Tipo Istituto,Tipo Gestione,Indirizzo,Comune,Telefono,Fax,Email istituto,Email segreteria,Sito web,Codice MIUR,CAP
Scuola dell'infanzia di Serso,Scuola dell'Infanzia di Serso,Scuola dell'infanzia,Paritaria,"Via al Casteler, 1",PERGINE VALSUGANA,0461 533843,,serso@pec.scuoladonochner.it,,,,38057
Scuola dell'infanzia di Lizzana,Scuola dell'Infanzia di Lizzana,Scuola dell'infanzia,Paritaria,"Via Brigata Mantova, 1",ROVERETO,0464-433395,,lizzana.materna@pec.associazionecoesi.com,,,,38068
Scuola dell'infanzia di Lizzanella,Scuola dell'Infanzia di Lizzanella,Scuola dell'infanzia,Paritaria,"Corso Verona, 109",ROVERETO,0464-432307,0464-400420,lizzanella.materna@pec.associazionecoesi.com,,,,38068
"Scuola dell'infanzia di Marco Rovereto   ""G.e A. Rosmini Serbati""","Scuola dell'Infanzia di Marco Rovereto   ""G.e A. Rosmini Serbati""",Scuola dell'infanzia,Paritaria,"Via Alla Stazione, 2",ROVERETO,0464-943313,0464-943313,marco.materna@pec.associazionecoesi.com,,,,38068
Scuola dell'infanzia di Lodrone,Scuola dell'Infanzia di Lodrone,Scuola dell'infanzia,Paritaria,"Salita Alla Bastia, 2",STORO,0465-685253,0465685131,lodrone.materna@pec.associazionecoesi.com,,,,38089
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO,Scuola Secondaria di Primo Grado,Paritaria,"Via Conci, 86",TRENTO,0461/930658,,associazione@pec.scuolasteiner-trento.it,segreteria@scuolasteiner-trento.it,www.scuolasteiner-trento.it,TN1M007003,38123
"Scuola dell'infanzia di Trento ""S. Antonio""","Scuola dell'Infanzia di Trento ""S. Antonio""",Scuola dell'infanzia,Paritaria,"Via Adamello, 2",TRENTO,0461-911027,0461-394133,s.antonio.materna@pec.associazionecoesi.com,,,,38122
"Scuola dell'infanzia di Tione di Trento ""Don Giovanni Failoni""","Scuola dell'Infanzia di Tione di Trento ""Don Giovanni Failoni""",Scuola dell'infanzia,Paritaria,"Piazza Battisti, 4",TIONE DI TRENTO,0465 321314,0465 329714,tione.materna@pec.associazionecoesi.com,,,,38079
Circolo di coordinamento n. 11,"Scuola dell'Infanzia di Livo ""Battito d'ali""",Scuola dell'infanzia,Statale,"Via Marconi, 17",LIVO,0463/533522,0461/491940,scuolainfanzia.livo@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38020
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',"SCUOLA PRIMARIA ""G. VERDI"" MIOLA BASELGA DI PINE'",Scuola Primaria,Statale,"Via della Chiesa, 3",BASELGA DI PINE',0461/558300,0461/558163,ic.pine@pec.provincia.tn.it,segr.ic.altopianodipine@scuole.provincia.tn.it,www.icpine.eu,TNEE81602B,38042
Circolo di coordinamento n. 9,"Scuola dell'Infanzia di Raossi Vallarsa  ""A. Moro""",Scuola dell'infanzia,Statale,"Frazione Raossi, 11",VALLARSA,0464/869348,0464/493117,scuolainfanzia.raossi@scuole.provincia.tn.it,circolo.coordinamento09@provincia.tn.it,,,38060
Circolo di coordinamento n. 9,Scuola dell'Infanzia di Terragnolo Piazza,Scuola dell'infanzia,Statale,"Frazione Piazza di Terragnolo, 14",TERRAGNOLO,0464 436345,0464/493117,scuolainfanzia.terragnolo@scuole.provincia.tn.it,circolo.coordinamento09@provincia.tn.it,,,38060
Circolo di coordinamento n. 11,"Scuola dell'Infanzia di Cavareno ""Peter Pan""",Scuola dell'infanzia,Statale,"Piazza Prati, 1",CAVARENO,0463/832426,0461/491940,scuolainfanzia.cavareno@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38011
Circolo di coordinamento n. 2,Scuola dell'Infanzia di Vattaro,Scuola dell'infanzia,Statale,"Via Giardino - Vattaro, 7",ALTOPIANO DELLA VIGOLANA,0461/848066,0461 491976,scuolainfanzia.vattaro@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38049
Circolo di coordinamento n. 7,"Scuola dell'Infanzia di Sporminore ""Fratelli Remondini""",Scuola dell'infanzia,Statale,"Piazza Anaunia, 2",SPORMINORE,0461/641186,0461/494334,scuolainfanzia.sporminore@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38010
Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,Scuola Secondaria di Secondo Grado,Paritaria,"Piazzale Orsi, 1",ROVERETO,0464/433484,0464/436873,iscrizioni.veronesi@pec.it,segreteria.dir@cfpgveronesi.it,www.cfpgveronesi.it,TNPSID500S,38068
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,SCUOLA PRIMARIA PELLIZZANO,Scuola Primaria,Statale,"Via Dei Baschenis, 7",PELLIZZANO,0463/751018,0463/750043,ic.altavaldisole@pec.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,www.icaltavaldisole.it,TNEE83205C,38020
Circolo di coordinamento n. 10,Scuola dell'Infanzia di Nogaredo,Scuola dell'infanzia,Statale,"Via Verdi, 38",NOGAREDO,0464/411244,0464/493115,scuolainfanzia.nogaredo@scuole.provincia.tn.it,circolo.coordinamento10@provincia.tn.it,,,38060
Circolo di coordinamento n. 10,"Scuola dell'Infanzia di Rovereto Rione Nord ""Mille colori""",Scuola dell'infanzia,Statale,"Via Chiocchetti, 1",ROVERETO,0464/435355,0464/493115,scuolainfanzia.rionenord@scuole.provincia.tn.it,circolo.coordinamento10@provincia.tn.it,,,38068
Centro Formazione Professionale Opera Armida Barelli - Levico,SETTORE SERVIZI,Formazione professionale,Paritaria,"Viale Roma, 61",LEVICO TERME,0461/706145,0461/701940,cfplevico@pec.operaarmidabarelli.org,cfplevico@operaarmidabarelli.org,www.operaarmidabarelli.org,TNFP272STA,38056
Circolo di coordinamento n. 7,"Scuola dell'Infanzia di S.Michele all' Adige  ""Il Germoglio""",Scuola dell'infanzia,Statale,"Via Biasi, 1/D",SAN MICHELE ALL'ADIGE,0461/662154,0461/494334,scuolainfanzia.sanmichele@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38010
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,SCUOLA PRIMARIA ROMAGNANO TRENTO,Scuola Primaria,Statale,"Via Ai Comuni, 6",TRENTO,0461/349119,0464/946007,ic.aldeno-mattarello@pec.provincia.tn.it,segr.aldeno.mattarello@scuole.provincia.tn.it,www.icaldenomattarello.it,TNEE82101T,38123
Circolo di coordinamento n. 4,"Scuola dell'Infanzia di Trento  ""Torrione""",Scuola dell'infanzia,Statale,"Via Al Torrione, 10",TRENTO,0461/232554,0461/496950,scuolainfanzia.torrione@scuole.provincia.tn.it,circolo.coordinamento04@provincia.tn.it,,,38122
Centro Formazione Professionale ENAIP - Tesero,SETTORE SERVIZI,Formazione professionale,Paritaria,"Via Caltrezza, 13",TESERO,0462/813133,0462/813145,cfp.tesero@pec.it,cfp.tesero@enaip.tn.it,www.enaiptrentino.it,TNFP254STA,38038
Circolo di coordinamento n. 10,"Scuola dell'Infanzia di Rovereto  S. Ilario ""Amici della scuola""",Scuola dell'infanzia,Statale,"Via Padre Faustino Monti, 4 A",ROVERETO,0464/411901,0464/493115,scuolainfanzia.santilario@scuole.provincia.tn.it,circolo.coordinamento10@provincia.tn.it,,,38068
Circolo di coordinamento n. 11,Scuola dell'Infanzia di Monclassico,Scuola dell'infanzia,Statale,"Via Berera - Monclassico, 6",DIMARO FOLGARIDA,0463/974606,0461/491940,scuolainfanzia.monclassico@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38025
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,"SCUOLA PRIMARIA ""E. BEZZI"" OSSANA",Scuola Primaria,Statale,"Via Di S Antonio, 21",OSSANA,0463/751261,0463/750043,ic.altavaldisole@pec.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,www.icaltavaldisole.it,TNEE832029,38026
"Centro Formazione Professionale ""Centromoda Canossa"" - Trento",SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Paritaria,"Via Grazioli, 2",TRENTO,0461/260454,0461/267864,canossatrento@pec.it,didattica@centromoda.tn.it,www.centromoda.tn.it,TNCF009001,38122
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,SCUOLA PRIMARIA ALDENO,Scuola Primaria,Statale,"Via XXV Aprile, 1",ALDENO,0461/842264,0464/946007,ic.aldeno-mattarello@pec.provincia.tn.it,segr.aldeno.mattarello@scuole.provincia.tn.it,www.icaldenomattarello.it,TNEE82102V,38060
Circolo di coordinamento n. 9,"Scuola dell'Infanzia di Rovereto Rione Sud  ""Il giardino incantato""",Scuola dell'infanzia,Statale,"Via Venezia, 11",ROVERETO,0464 431163,0464/493117,scuolainfanzia.rionesud@scuole.provincia.tn.it,circolo.coordinamento09@provincia.tn.it,,,38068
ISTITUTO COMPRENSIVO ARCO,SCUOLA PRIMARIA MASSONE,Scuola Primaria,Statale,"Via Maffei - San Martino, 2",ARCO,0464/516679,0464/517064,ic.arco@pec.provincia.tn.it,segr.ic.arco@scuole.provincia.tn.it,www.icarco.edu.it,TNEE840028,38062
Circolo di coordinamento n. 1,"Scuola dell'Infanzia di S. Orsola ""Il girotondo""",Scuola dell'infanzia,Statale,"Localita Pintarei, 9",SANT'ORSOLA TERME,0461/551163,0461/493495,scuolainfanzia.santorsola@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38050
FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Scuola Secondaria di Secondo Grado,Paritaria,"Via Mach, 1",SAN MICHELE ALL'ADIGE,0461/615213,0461/615273,amministrazione.cif@pec.iasma.it,segreteria.scuola@fmach.it,www.fmach.it,TNTA01500B,38010
Circolo di coordinamento n. 1,Scuola dell'Infanzia di Piazze,Scuola dell'infanzia,Statale,"Via Vittorino da Feltre, 24",BEDOLLO,0461/556518,0461/493495,scuolainfanzia.bedollo@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38043
Circolo di coordinamento n. 10,Scuola dell'Infanzia di Besenello,Scuola dell'infanzia,Statale,"Via Vanzetti, 3",BESENELLO,0464/834946,0464/493115,scuolainfanzia.besenello@scuole.provincia.tn.it,circolo.coordinamento10@provincia.tn.it,,,38060
Circolo di coordinamento n. 3,"Scuola dell'Infanzia di Trento  Villazzano 3  ""L'officina degli gnomi""",Scuola dell'infanzia,Statale,"Via Conci, 10",TRENTO,0461/920367,0461/497257,scuolainfanzia.villazzano@scuole.provincia.tn.it,circolo.coordinamento03@provincia.tn.it,,,38123
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,Scuola Secondaria di Secondo Grado,Paritaria,"Via Monsignor  Endrici, 23",TRENTO,0461/1731200,0461/1731288,collegioarcivescovile@pec.it,didatticatn@arcivescoviletrento.it,www.arcivescoviletrento.it,TNPS015002,38122
Circolo di coordinamento n. 3,"Scuola dell'Infanzia di Trento Clarina   ""Piccolo mondo""",Scuola dell'infanzia,Statale,"Via Gramsci, 11",TRENTO,0461/925726,0461/497257,scuolainfanzia.piccolomondo@scuole.provincia.tn.it,circolo.coordinamento03@provincia.tn.it,,,38123
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',"SCUOLA PRIMARIA  ""ABRAMO ANDREATTA"" BEDOLLO",Scuola Primaria,Statale,"Via S Osvaldo, 5",BEDOLLO,0461/556844,0461/558163,ic.pine@pec.provincia.tn.it,segr.ic.altopianodipine@scuole.provincia.tn.it,www.icpine.eu,TNEE81605E,38043
Circolo di coordinamento n. 4,"Scuola dell'Infanzia di Trento  Ravina  ""Girotondo""",Scuola dell'infanzia,Statale,"Via Per Belvedere, 8",TRENTO,0461/922216,0461/496950,scuolainfanzia.ravina@scuole.provincia.tn.it,circolo.coordinamento04@provincia.tn.it,,,38123
ISTITUTO COMPRENSIVO ARCO,SCUOLA PRIMARIA ROMARZOLLO,Scuola Primaria,Statale,"Via Fossa, 8",ARCO,0464/516187,0464/517064,ic.arco@pec.provincia.tn.it,segr.ic.arco@scuole.provincia.tn.it,www.icarco.edu.it,TNEE84004A,38062
Circolo di coordinamento n. 4,"Scuola dell'Infanzia di Cimone ""Mamma Teresa""",Scuola dell'infanzia,Statale,"Frazione Petrolli, 37",CIMONE,0461/855216,0461/496950,scuolainfanzia.cimone@scuole.provincia.tn.it,circolo.coordinamento04@provincia.tn.it,,,38060
Circolo di coordinamento n. 9,"Scuola dell'Infanzia di Rovereto San Giorgio   ""Don A. Rossaro""",Scuola dell'infanzia,Statale,"Via Telani, 4",ROVERETO,0464 433713,0464/493117,scuolainfanzia.sangiorgio@scuole.provincia.tn.it,circolo.coordinamento09@provincia.tn.it,,,38068
Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale,SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Paritaria,"Piazzale Orsi, 1",ROVERETO,0464/433484,0464/436873,iscrizioni.veronesi@pec.it,segreteria.dir@cfpgveronesi.it,www.cfpgveronesi.it,TNCF002001,38068
Circolo di coordinamento n. 1,Scuola dell'Infanzia di Molina di Fiemme,Scuola dell'infanzia,Statale,"Via Segherie, 64/C",CASTELLO-MOLINA DI FIEMME,0462/230696,0461/493495,scuolainfanzia.molina@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38030
Coordinamento pedagogico scuole provinciali dell'infanzia ladine,"Scuola dell'Infanzia di Canazei ""Don Simone Micheluzzi de Ciciol""",Scuola dell'infanzia,Statale,"Via de Magoa, 24",CANAZEI - CIANACEI,0462/601631,0462/760001,scuolainfanzia.canazei@scuole.provincia.tn.it,coordinamento.scuoleladine@provincia.tn.it,,,38032
Centro Formazione Professionale ENAIP - Tione di Trento,SETTORE SERVIZI,Formazione professionale,Paritaria,"Via Durone, 57",TIONE DI TRENTO,0465/321316,0465/322091,cfp.tione@pec.it,cfp.tione@enaip.tn.it,www.enaiptrentino.it,TNCF001001,38079
Circolo di coordinamento n. 1,"Scuola dell'Infanzia di Fierozzo ""Himblring""",Scuola dell'infanzia,Statale,"Maso Ronca, 9",FIEROZZO - VLARÖTZ,0461/540044,0461/493495,scuolainfanzia.fierozzo@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38050
Circolo di coordinamento n. 2,Scuola dell'Infanzia di Bieno,Scuola dell'infanzia,Statale,"Via Ammiraglio Bettolo, 21",BIENO,0461/596247,0461 491976,scuolainfanzia.bieno@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38050
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,Scuola Secondaria di Primo Grado,Paritaria,"Via Monsignor  Endrici, 23",TRENTO,0461/1731200,0461/1731288,collegioarcivescovile@pec.it,didatticatn@arcivescoviletrento.it,www.arcivescoviletrento.it,TN1M00400G,38122
Circolo di coordinamento n. 2,Scuola dell'Infanzia di Castello Tesino,Scuola dell'infanzia,Statale,"Via Venezia, 16/A",CASTELLO TESINO,0461/593023,0461 491976,scuolainfanzia.castellotesino@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38053
Centro Formazione Professionale UPT - Trento,SETTORE SERVIZI ROVERETO,Formazione professionale,Paritaria,"Via Pasqui, 10",ROVERETO,0461/239997,0461/260235,segreteria.rovereto@cfp-upt.it,segreteria.sede@cfp-upt.it,www.cfp-upt.it,TNCF003001,38068
ISTITUTO COMPRENSIVO ALTA VALLAGARINA,"SCUOLA PRIMARIA ""G. TOVAZZI"" VOLANO",Scuola Primaria,Statale,"Via Stazione, 30",VOLANO,0464/410475,0461/490699,ic.altavallagarina@pec.provincia.tn.it,segr.ic.altavallagarina@scuole.provincia.tn.it,www.ic-altavallagarina.it,TNEE86003E,38060
Centro Formazione Professionale Pavoniano Artigianelli - Trento,SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Paritaria,"Piazza Di Fiera, 4",TRENTO,0461/270244,0461/270241,,scuolagrafica@artigianelli.tn.it,http://www.artigianelli.tn.it/,TNCF004001,38122
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,"SCUOLA SECONDARIA DI PRIMO GRADO ""C. ZANELLA"" FUCINE DI OSSANA",Scuola Secondaria di Primo Grado,Statale,"Via S Michele, 11",OSSANA,0463/751129,0463/750043,ic.altavaldisole@pec.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,www.icaltavaldisole.it,TNMM832017,38026
Circolo di coordinamento n. 9,Scuola dell'Infanzia di S.Anna Vallarsa,Scuola dell'infanzia,Statale,"Frazione S Anna, 1",VALLARSA,0464 869225,0464/493117,scuolainfanzia.santanna@scuole.provincia.tn.it,circolo.coordinamento09@provincia.tn.it,,,38060
Centro Formazione Professionale Opera Armida Barelli - Rovereto,SETTORE SERVIZI,Formazione professionale,Paritaria,"Via Setaioli, 5",ROVERETO,0464/433771,0464/431711,cfprovereto@pec.operaarmidabarelli.org,cfprovereto@operaarmidabarelli.org,www.operaarmidabarelli.org,TNCF005001,38068
Circolo di coordinamento n. 9,"Scuola dell'Infanzia di Rovereto Lizzana  ""Girogirotondo""",Scuola dell'infanzia,Statale,"Via Livenza, 27",ROVERETO,0464 437839,0464/493117,scuolainfanzia.livenza@scuole.provincia.tn.it,circolo.coordinamento09@provincia.tn.it,,,38068
Circolo di coordinamento n. 10,"Scuola dell'Infanzia di Calliano ""Matite colorate""",Scuola dell'infanzia,Statale,"via 3 Novembre, 33",CALLIANO,0464/835165,0464/493115,scuolainfanzia.calliano@scuole.provincia.tn.it,circolo.coordinamento10@provincia.tn.it,,,38060
Circolo di coordinamento n. 2,Scuola dell'Infanzia di Novaledo,Scuola dell'infanzia,Statale,"Via Valle, 4",NOVALEDO,0461/721100,0461 491976,scuolainfanzia.novaledo@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38050
Circolo di coordinamento n. 9,Scuola dell'Infanzia di Rovereto Fucine,Scuola dell'infanzia,Statale,"Via Volta, 1",ROVERETO,0464/420477,0464/493117,scuolainfanzia.fucine@scuole.provincia.tn.it,circolo.coordinamento09@provincia.tn.it,,,38068
ISTITUTO COMPRENSIVO ALTA VALLAGARINA,"SCUOLA SECONDARIA DI PRIMO GRADO ""ALTA VALLAGARINA"" VOLANO",Scuola Secondaria di Primo Grado,Statale,"Via Manzoni, 3",ROVERETO,0464/410475,0461/490699,ic.altavallagarina@pec.provincia.tn.it,segr.ic.altavallagarina@scuole.provincia.tn.it,www.ic-altavallagarina.it,TNMM86001B,38068
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO,SCUOLA SECONDARIA DI PRIMO GRADO GARDASCUOLA ARCO,Scuola Secondaria di Primo Grado,Paritaria,"Via XXIV Maggio, 1",ARCO,0464/519546,0464/519959,gardascuola@pec.cooperazionetrentina.it,segreteria@gardascuola.it,www.gardascuola.it,TN1M00800V,38062
Circolo di coordinamento n. 6,"Scuola dell'Infanzia di Giovo  ""Il Pellicano""",Scuola dell'infanzia,Statale,"Via Delle Scuole, 9",GIOVO,0461/684978,0461/499283,scuolainfanzia.paludigiovo@scuole.provincia.tn.it,circolo.coordinamento06@provincia.tn.it,,,38030
Circolo di coordinamento n. 4,"Scuola dell'Infanzia di Trento S.Giuseppe   ""Maso Ginocchio - Collodi""",Scuola dell'infanzia,Statale,"Via Giusti, 56",TRENTO,0461/930042,0461/496950,scuolainfanzia.sangiuseppe@scuole.provincia.tn.it,circolo.coordinamento04@provincia.tn.it,,,38122
ISTITUTO COMPRENSIVO ALTA VALLAGARINA,"SCUOLA PRIMARIA ""S. PELLICO"" BESENELLO",Scuola Primaria,Statale,"Via Degasperi, 2",BESENELLO,0464/410475,0461/490699,ic.altavallagarina@pec.provincia.tn.it,segr.ic.altavallagarina@scuole.provincia.tn.it,www.ic-altavallagarina.it,TNEE86001C,38060
Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale,SETTORE INDUSTRIA E ARTIGIANATO SERALE,Formazione professionale,Paritaria,"Piazzale Orsi, 1",ROVERETO,0464/433484,0464/436873,iscrizioni.veronesi@pec.it,segreteria.dir@cfpgveronesi.it,www.cfpgveronesi.it,,38068
Circolo di coordinamento n. 1,Scuola dell'Infanzia di Baselga di Piné,Scuola dell'infanzia,Statale,"Via del Municipio Vecchio, 2",BASELGA DI PINE',0461/557640,0461/493495,scuolainfanzia.baselgadipine@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38042
Circolo di coordinamento n. 2,"Scuola dell'Infanzia di Vigolo Vattaro ""Giardino dell'Amicizia""",Scuola dell'infanzia,Statale,"Via Al Castello - Vigolo Vattaro, 10",ALTOPIANO DELLA VIGOLANA,0461/848577,0461 491976,scuolainfanzia.vigolovattaro@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38049
Centro Formazione Professionale ENAIP - Tesero,SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Paritaria,"Via Caltrezza, 13",TESERO,0462/813133,0462/813145,cfp.tesero@pec.it,cfp.tesero@enaip.tn.it,www.enaiptrentino.it,TNFP254STA,38038
Circolo di coordinamento n. 11,Scuola dell'Infanzia di Rabbi,Scuola dell'infanzia,Statale,"Frazione Pracorno, 98/B",RABBI,0463/902652,0461/491940,scuolainfanzia.rabbi@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38020
Circolo di coordinamento n. 3,"Scuola dell'Infanzia di Trento  ""Crosina Sartori""",Scuola dell'infanzia,Statale,"Via Gocciadoro, 84",TRENTO,0461/925679,0461/497257,scuolainfanzia.crosina@scuole.provincia.tn.it,circolo.coordinamento03@provincia.tn.it,,,38122
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,SCUOLA PRIMARIA MATTARELLO,Scuola Primaria,Statale,"Via Poli, 11",TRENTO,0461/945376,0464/946007,ic.aldeno-mattarello@pec.provincia.tn.it,segr.aldeno.mattarello@scuole.provincia.tn.it,www.icaldenomattarello.it,TNEE821041,38123
Circolo di coordinamento n. 1,Scuola dell'Infanzia di Miola di Pinè,Scuola dell'infanzia,Statale,"Via del Dos di Miola, 13",BASELGA DI PINE',0461/557950,0461/493495,scuolainfanzia.miola@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38042
Circolo di coordinamento n. 1,"Scuola dell'Infanzia di Seregnano ""Arcobaleno""",Scuola dell'infanzia,Statale,"Via Alla Villa Wolf - Rovere, 4",CIVEZZANO,0461/858736,0461/493495,scuolainfanzia.seregnano@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38045
Circolo di coordinamento n. 11,"Scuola dell'Infanzia di Pellizzano ""Antonio Bontempelli""",Scuola dell'infanzia,Statale,"Via Dei Baschenis, 7",PELLIZZANO,335 1817040,0461/491940,scuolainfanzia.pellizzano@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38020
Circolo di coordinamento n. 6,"Scuola dell'Infanzia di Zambana ""Girotondo""",Scuola dell'infanzia,Statale,"Via Conti Spaur, 2",TERRE D'ADIGE,0461/241060,0461/499283,scuolainfanzia.zambana@scuole.provincia.tn.it,circolo.coordinamento06@provincia.tn.it,,,38010
Circolo di coordinamento n. 2,"Scuola dell'Infanzia di Canal San Bovo ""Lausen""",Scuola dell'infanzia,Statale,"Localita Lausen, 13",CANAL SAN BOVO,0439/718979,0461 491976,scuolainfanzia.canalsanbovo@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38050
Circolo di coordinamento n. 8,Scuola dell'Infanzia di Bezzecca - A. Cis,Scuola dell'infanzia,Statale,"Via Generale Dalla Chiesa, 2, Bezzecca",LEDRO,0464/592133,0461/493389,scuolainfanzia.bezzecca@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38067
Circolo di coordinamento n. 5,"Scuola dell'Infanzia di Trento Gardolo Paludi  ""Biancaneve""",Scuola dell'infanzia,Statale,"Via Paludi, 9/1",TRENTO,0461/992128,0461/497257,scuolainfanzia.gardolo@scuole.provincia.tn.it,circolo.coordinamento05@provincia.tn.it,,,38121
Circolo di coordinamento n. 5,"Scuola dell'Infanzia di Trento Roncafort  ""Margit Levinson""",Scuola dell'infanzia,Statale,"Via Dell Asilo, 8",TRENTO,0461/960422,0461/497257,scuolainfanzia.roncafort@scuole.provincia.tn.it,circolo.coordinamento05@provincia.tn.it,,,38121
