population,area,province,id,name,address,cap,mun_id,municipality,grade,email,pec,website,type,school_type,geometry
1516,Nord Est,Trento,TNEE83702C,Bleggio Superiore - Rango,Via Balbido,38071,A902,Bleggio Superiore,Scuola Primaria,,,www.giudicariescuola.it,Statale,Normale,POINT (10.837660000000028 46.025190000000066)
1963,Nord Est,Trento,TNEE838039,"Borgo Chiese-Condino""Papaleoni""","Via G.Marconi, 1",38083,M352,Borgo Chiese,Scuola Primaria,,,www.istitutodelchiese.it,Statale,Normale,POINT (10.598889994713886 45.88956998004093)
707,Nord Est,Trento,TNEE83604P,Borgo Lares - Zuclo,"Via Fucina, 10",38079,M353,Borgo Lares,Scuola Primaria,,,www.ictione.tn.it,Statale,Normale,POINT (10.729670865887005 46.0332605001021)
6984,Nord Est,Trento,TNMM812012,"Borgo ""Ora E Veglia""","Via A. Spagolla, 1",38051,B006,Borgo Valsugana,Scuola Primo Grado,,,www.icborgovalsugana.edu.it,Statale,Normale,POINT (11.45634515061363 46.05203302227762)
6984,Nord Est,Trento,TNIS00200E,"""Alcide Degasperi"" Borgo","Via Xxiv Maggio, 6",38051,B006,Borgo Valsugana,Istituto Superiore,segr.istalcidedegasperi@scuole.provincia.tn.it,degasperi@pec.provincia.tn.it,,Statale,Normale,POINT (11.45952000816331 46.05368001668418)
6984,Nord Est,Trento,TNIC812001,"""Borgo Valsugana""","Via A.Spagolla, 1",38051,B006,Borgo Valsugana,Istituto Comprensivo,segr.ic.borgovalsugana@scuole.provincia.tn.it,ic.borgovalsugana@pec.provincia.tn.it,,Statale,Normale,POINT (11.466399958108724 46.04172997923649)
6984,Nord Est,Trento,TNTD002505,"""Alcide Degasperi"" - Borgo-Serale","Via Xxiv Maggio, 6",38051,B006,Borgo Valsugana,Ist Tec Commerciale E Per Geometri,segr.istalcidedegasperi@scuole.provincia.tn.it,,www.istalcidedegasperi.it,Statale,Percorso Ii Livello,POINT (11.45952000816331 46.05368001668418)
6984,Nord Est,Trento,TNPS002011,"""Alcide Degasperi"" - Borgo Valsugana","Via Xxiv Maggio, 6",38051,B006,Borgo Valsugana,Liceo Scientifico,segr.istalcidedegasperi@scuole.provincia.tn.it,,www.istalcidedegasperi.it,Statale,Normale,POINT (11.45952000816331 46.05368001668418)
6984,Nord Est,Trento,TNTD00201R,"""Alcide Degasperi"" - Borgo","Via Xxiv Maggio, 6",38051,B006,Borgo Valsugana,Ist Tec Commerciale E Per Geometri,segr.istalcidedegasperi@scuole.provincia.tn.it,,www.istalcidedegasperi.it,Statale,Normale,POINT (11.45952000816331 46.05368001668418)
6984,Nord Est,Trento,TNCT708006,Educazione Adulti I Ciclo Borgo Vals.,"Via Xxiv Maggio, 6",38051,B006,Borgo Valsugana,Centro Territoriale,,,,Statale,Normale,POINT (11.45952000816331 46.05368001668418)
6984,Nord Est,Trento,TNEE812046,"Borgo ""Vittorino Da Feltre""","Via 4 Novembre, 3",38051,B006,Borgo Valsugana,Scuola Primaria,,,www.icborgovalsugana.edu.it,Statale,Normale,POINT (11.278045853263734 46.0779128531357)
4021,Nord Est,Trento,TNMM861017,"Brentonico ""Catoni""",Via F.Calzolari,38060,B153,Brentonico,Scuola Primo Grado,,,ic-altavallagarina.it,Statale,Normale,POINT (10.959740000000068 45.82126000000005)
4021,Nord Est,Trento,TNIC861006,"""Brentonico""","Via F. Calzolari, 4",38060,B153,Brentonico,Istituto Comprensivo,,,,Statale,Normale,POINT (10.959740000000068 45.82126000000005)
4021,Nord Est,Trento,TNEE861018,Brentonico,"Via F. Calzolari, 4",38060,B153,Brentonico,Scuola Primaria,,,ic-altavallagarina.it,Statale,Normale,POINT (10.959740000000068 45.82126000000005)
681,Nord Est,Trento,TNEE83401X,Caderzone,"Via Nazionale, 15",38080,B335,Caderzone Terme,Scuola Primaria,,,icvalrendena.it,Statale,Normale,POINT (10.752519970178838 46.11861998500237)
1094,Nord Est,Trento,TNEE833014,Caldes,"Via Roma, 72",38022,B400,Caldes,Scuola Primaria,,,www.icbassavaldisole.it,Statale,Normale,POINT (10.922251488173869 46.359500097336564)
3855,Nord Est,Trento,TNEE818023,Caldonazzo,"Via Dell'Asilo, 3",38052,B404,Caldonazzo,Scuola Primaria,,,http://www.iclevico.eu,Statale,Normale,POINT (11.26355999673882 45.99294998496441)
3222,Nord Est,Trento,TNEE86002D,"Calliano ""Arminio De Valentini""","Via G. Garibaldi, 2",38060,B419,Calliano,Scuola Primaria,,,ic-altavallagarina.istruzione.tn.it,Statale,Normale,POINT (11.09324310824957 45.9343973256229)
1520,Nord Est,Trento,TNEE82901C,"Campodenno ""Mario Pezzi""","Via San Maurizio, 3",38010,B525,Campodenno,Scuola Primaria,,,www.icbassaanauniatuenno.it,Statale,Normale,POINT (11.036589961050339 46.25731001433792)
1457,Nord Est,Trento,TNMM81001A,Canal San Bovo,"Loc. Lausen, 14",38050,B577,Canal San Bovo,Scuola Primo Grado,,,www.scuoleprimiero.it,Statale,Normale,POINT (11.733380346091524 46.15584483618101)
1457,Nord Est,Trento,TNEE81001B,"Canal S.Bovo ""Federico Loss""","Via Roma, 45",38050,B577,Canal San Bovo,Scuola Primaria,,,www.scuoleprimiero.it,Statale,Normale,POINT (11.765747560170595 46.167800463073654)
2015,Nord Est,Trento,TNEE85001T,"Canazei ""Giovanni Rizzi""","Via Magoa, 15",38032,B579,Canazei,Scuola Primaria,,,www.scuoladifassa.it,Statale,Normale,POINT (11.765744366203796 46.47813610893063)
579,Nord Est,Trento,TNEE809017,Capriana,"Piazza Delle Scuole, 1",38030,B697,Capriana,Scuola Primaria,,,www.iccavalese.it,Statale,Normale,POINT (11.339024061780774 46.262869064246516)
950,Nord Est,Trento,TNEE834021,Carisolo,Via G.Verdi 18/B,38080,B783,Carisolo,Scuola Primaria,,,icvalrendena.it,Statale,Normale,POINT (10.759239993411683 46.167659985910944)
3277,Nord Est,Trento,TNMM80102L,"Castel Ivano Strigno ""Brentari""","Via Roma, 14",38059,M354,Castel Ivano,Scuola Primo Grado,,,www.icstrignoetesino.it,Statale,Normale,POINT (11.523880032600772 46.06243001113759)
3277,Nord Est,Trento,TNEE80106T,Castel Ivano - Strigno,"Piazza Iv Novembre, 12/A",38059,M354,Castel Ivano,Scuola Primaria,,,www.icstrignoetesino.it,Statale,Normale,POINT (11.521900000000073 46.06777000000005)
3277,Nord Est,Trento,TNEE80107V,Castel Ivano - Villagnedo,"Via Dei Molini, 32",38059,M354,Castel Ivano,Scuola Primaria,,,www.icstrignoetesino.it,Statale,Normale,POINT (11.526710014569915 46.054290009687776)
3277,Nord Est,Trento,TNIC80100E,"""Strigno E Tesino""","Via Roma, 14",38059,M354,Castel Ivano,Istituto Comprensivo,segr.ic.strignoetesino@scuole.provincia.tn.it,ic.strignotesino@pec.provincia.tn.it,,Statale,Normale,POINT (11.523880032600772 46.06243001113759)
1167,Nord Est,Trento,TNMM80101G,Castello Tesino,"Via C.Battisti, 2",38053,C194,Castello Tesino,Scuola Primo Grado,,,www.icstrignoetesino.it,Statale,Normale,POINT (11.629063977669643 46.06513048222527)
1066,Nord Est,Trento,TNEE81301V,Castelnuovo,"Piazza Municipio, 4",38050,C216,Castelnuovo,Scuola Primaria,,,www.iccentrovalsugana.it,Statale,Normale,POINT (11.494275108675595 46.052557349963244)
4041,Nord Est,Trento,TNEE80906C,Cavalese - Masi,"Via Chiesa, 27",38030,C372,Cavalese,Scuola Primaria,,,www.iccavalese.it,Statale,Normale,POINT (11.485580015688015 46.2834600015932)
4041,Nord Est,Trento,TNIS00100P,"""La Rosa Bianca-Weisse Rose"" - Cavalese","Via Gandhi, 1",38033,C372,Cavalese,Istituto Superiore,segr.iicavalese@scuole.provincia.tn.it,weisserose@pec.provincia.tn.it,,Statale,Normale,POINT (11.459390000000042 46.29168000000004)
4041,Nord Est,Trento,TNMM809016,"Cavalese ""Giovanni Segantini""","Piazza G.Verdi, 6",38033,C372,Cavalese,Scuola Primo Grado,,,www.iccavalese.it,Statale,Normale,POINT (11.433820003379992 46.279359993654936)
4041,Nord Est,Trento,TNTL00101B,"""La Rosa Bianca-Weisse Rose"" - Cavalese","Via Gandhi, 1",38033,C372,Cavalese,Istituto Tecnico Per Geometri,segr.iicavalese@scuole.provincia.tn.it,,www.scuolefiemme.tn.it,Statale,Normale,POINT (11.459390000000042 46.29168000000004)
4041,Nord Est,Trento,TNEE80905B,Cavalese,"Largo Leone Bosin, 2",38033,C372,Cavalese,Scuola Primaria,,,www.iccavalese.it,Statale,Normale,POINT (11.46348003831855 46.28948998464713)
4041,Nord Est,Trento,TNPS001015,"""La Rosa Bianca-Weisse Rose"" - Cavalese","Via Gandhi, 1",38033,C372,Cavalese,Liceo Scientifico,segr.iicavalese@scuole.provincia.tn.it,,http://www.scuolefiemme.tn.it/,Statale,Normale,POINT (11.459390000000042 46.29168000000004)
4041,Nord Est,Trento,TNCT710006,Educazione Adulti I Ciclo Cavalese,"Via Ghandi, 1",38033,C372,Cavalese,Centro Territoriale,,,,Statale,Normale,POINT (11.459390000000042 46.29168000000004)
4041,Nord Est,Trento,TNIC809005,"""Cavalese""","Piazza G. Verdi, 6",38033,C372,Cavalese,Istituto Comprensivo,segr.cavalese@scuole.provincia.tn.it,ic.cavalese@pec.provincia.tn.it,,Statale,Normale,POINT (11.459390000000042 46.29168000000004)
1117,Nord Est,Trento,TNEE82802N,Cavareno,"Piazzale Savera, 2",38011,C380,Cavareno,Scuola Primaria,,,www.icfondorevo.it,Statale,Normale,POINT (11.138359883593107 46.408153430969186)
3003,Nord Est,Trento,TNEE84407R,Cavedine - Vigo,"Via Nuova, 42",38070,C393,Cavedine,Scuola Primaria,,,www.istitutovalledeilaghidro.it,Statale,Normale,POINT (10.982930022749542 45.979070014310565)
3003,Nord Est,Trento,TNEE84406Q,Cavedine,"Via Don Luigi Negri, 32",38073,C393,Cavedine,Scuola Primaria,,,www.istitutocomprensivovalledeilaghi.it,Statale,Normale,POINT (10.973970000000065 45.99387000000007)
3003,Nord Est,Trento,TNMM84402E,"Cavedine ""Cristoforo Madruzzo""","Via 25 Aprile, 7",38073,C393,Cavedine,Scuola Primo Grado,,,www.icvalledeilaghidro.it,Statale,Normale,POINT (10.971159986672518 45.9947999967238)
2308,Nord Est,Trento,TNMM82201L,Cembra Lisignago - Cembra,"Via Delle Negritelle, 1",38034,M355,Cembra Lisignago,Scuola Primo Grado,,,www.iccembra.it,Statale,Normale,POINT (11.222832802368476 46.17209231259779)
2308,Nord Est,Trento,TNIC82200G,"""Cembra""","Via Delle Negritelle,  1",38034,M355,Cembra Lisignago,Istituto Comprensivo,segr.cembra@scuole.provincia.tn.it,ic.cembra@pec.provincia.tn.it,,Statale,Normale,POINT (11.222832802368476 46.17209231259779)
2308,Nord Est,Trento,TNEE82201N,Cembra Lisignago - Cembra,"Viale 4 Novembre, 68",38034,M355,Cembra Lisignago,Scuola Primaria,,,www.iccembra.it,Statale,Normale,POINT (11.22135000000003 46.174960000000056)
708,Nord Est,Trento,TNEE82103X,Cimone,"Fraz. Petrolli, 37",38060,C700,Cimone,Scuola Primaria,,,www.icaldenomattarello.it,Statale,Normale,POINT (11.067647477784655 45.98032466828956)
4080,Nord Est,Trento,TNEE817027,Civezzano - Seregnano,"Fraz. Cogatti, 4",38045,C756,Civezzano,Scuola Primaria,,,http://iccivezzano.infovals.eu,Statale,Normale,POINT (11.196760000286986 46.09373000734195)
4080,Nord Est,Trento,TNMM817015,"Civezzano ""Giulio Alessandrini""","Via Murialdo, 30",38045,C756,Civezzano,Scuola Primo Grado,,,http://iccivezzano.infovals.eu,Statale,Normale,POINT (11.181571981040426 46.09192137254481)
4080,Nord Est,Trento,TNEE817016,"Civezzano ""G.B.Borsieri""","Via Telvana, 6",38045,C756,Civezzano,Scuola Primaria,,,http://ic.civezzano.infovals.eu,Statale,Normale,POINT (11.180470022922606 46.08989998050495)
4080,Nord Est,Trento,TNIC817004,"""Civezzano""","Via Murialdo, 27",38045,C756,Civezzano,Istituto Comprensivo,segr.i.c.civezzano@scuole.provincia.tn.it,ic.civezzano@pec.provincia.tn.it,,Statale,Normale,POINT (11.180219916110168 46.09257175973796)
4080,Nord Est,Trento,TNTN01500Q,"Istituto ""Ivo De Carneri"" Civezzano",Via Murialdo 30,38045,C756,Civezzano,Scuola Sec. Secondo Grado ,info@istitutodecarneri.it,,,Paritaria,Paritaria,POINT (11.181571981040426 46.09192137254481)
4080,Nord Est,Trento,TNRI015007,"Istituto ""Ivo De Carneri"" Civezzano",Via Murialdo 30,38045,C756,Civezzano,Scuola Sec. Secondo Grado ,info@istitutodecarneri.it,,,Paritaria,Paritaria,POINT (11.181571981040426 46.09192137254481)
4080,Nord Est,Trento,TNTE045005,"Istituto ""Ivo De Carneri"" Civezzano",Via Murialdo 30,38045,C756,Civezzano,Scuola Sec. Secondo Grado ,info@istitutodecarneri.it,,,Paritaria,Paritaria,POINT (11.181571981040426 46.09192137254481)
7155,Nord Est,Trento,TNIS00600T,"""Bertrand Russell"" - Cles","Via Iv Novembre, 35",38023,C794,Cles,Istituto Superiore,segr.russell@scuole.provincia.tn.it,russell@pec.provincia.tn.it,,Statale,Normale,POINT (11.035550000000057 46.36451000000005)
7155,Nord Est,Trento,TNCT709002,Educazione Adulti I Ciclo Cles,Via Iv Novembre 35,38023,C794,Cles,Centro Territoriale,,,,Statale,Normale,POINT (11.035550000000057 46.36451000000005)
7155,Nord Est,Trento,TNEE83101C,Cles,"Via F.Filzi, 58",38023,C794,Cles,Scuola Primaria,,,www.iccles.it,Statale,Normale,POINT (11.031220010961988 46.36777000332614)
7155,Nord Est,Trento,TNTD100001,"""Carlo Antonio Pilati"" - Cles","Via Iv Novembre, 35",38023,C794,Cles,Ist Tec Commerciale E Per Geometri,segr.itetpilati@scuole.provincia.tn.it,pilati@pec.provincia.tn.it,www.istitutopilati.it,Statale,Normale,POINT (11.032490538624966 46.36398151346084)
7155,Nord Est,Trento,TNPM006019,"""Degasperi"" - Cles","Via Trento, 30",38023,C794,Cles,Istituto Magistrale,segr.russell@scuole.provincia.tn.it,,www.liceorussell.eu,Statale,Normale,POINT (11.03565998889303 46.36309000959764)
7155,Nord Est,Trento,TNIC83100A,"""Cles""","Via Chini, 31",38023,C794,Cles,Istituto Comprensivo,segr.ic.cles@scuole.provincia.tn.it,ic.cles@pec.provincia.tn.it,,Statale,Normale,POINT (11.035550000000057 46.36451000000005)
7155,Nord Est,Trento,TNPS006018,"""Bertrand Russell"" Cles","Via Iv Novembre, 35",38023,C794,Cles,Liceo Scientifico,segr.russell@scuole.provincia.tn.it,,www.liceorussell.eu,Statale,Normale,POINT (11.035550000000057 46.36451000000005)
7155,Nord Est,Trento,TNTD10050A,"""Carlo Antonio Pilati"" - Cles - Serale","Via 4 Novembre, 35",38023,C794,Cles,Ist Tec Commerciale E Per Geometri,dirigente@istitutopilati.it,,www.istitutopilati.it,Statale,Percorso Ii Livello,POINT (11.03415996350077 46.36865001934052)
7155,Nord Est,Trento,TNMM83101B,"Cles ""Vigilio Inama""","Via Chini, 31",38023,C794,Cles,Scuola Primo Grado,,,www.iccles.it,Statale,Normale,POINT (11.035550000000057 46.36451000000005)
2895,Nord Est,Trento,TNIC837009,"""Giudicarie Esteriori""","Via San Giovanni Bosco, 14",38077,M314,Comano Terme,Istituto Comprensivo,segr.ic.pontearche@scuole.provincia.tn.it,ic.giudicarieesteriori@pec.provincia.tn.it,,Statale,Normale,POINT (10.870659961770599 46.03591997923141)
2895,Nord Est,Trento,TNEE83704E,Comano Terme - Campo Lomaso,Via G. Prati,38070,M314,Comano Terme,Scuola Primaria,,,www.giudicariescuola.it,Statale,Normale,POINT (10.86470743428845 46.0246051916053)
2895,Nord Est,Trento,TNMM83701A,"Comano Terme-Ponte Arche""Prati""","Via San Giovanni, 14",38077,M314,Comano Terme,Scuola Primo Grado,,,www.giudicariescuola.it,Statale,Normale,POINT (10.881559654453707 46.0280310743208)
1019,Nord Est,Trento,TNEE83208G,Commezzadura - Mestriago,"Via Nazionale, 25",38020,C931,Commezzadura,Scuola Primaria,,,www.icaltavaldisole.it,Statale,Normale,POINT (10.836225621438924 46.320752830567194)
688,Nord Est,Trento,TNEE833036,"Croviana ""Bartolomeo Pezzen""","Via Delle Scuole, 25",38027,D188,Croviana,Scuola Primaria,,,www.icbassavaldisole.it,Statale,Normale,POINT (10.903479974206306 46.34512997993508)
1211,Nord Est,Trento,TNIC82900A,"""Bassa Anaunia-Tuenno""","Via Colle Verde, 3",38010,D273,Denno,Istituto Comprensivo,segr.ic.denno@scuole.provincia.tn.it,ic.bassaanaunia@pec.provincia.tn.it,,Statale,Normale,POINT (11.048770039830714 46.27019999840772)
1211,Nord Est,Trento,TNMM82901B,"Denno ""Vittorio Vielmetti""","Via Colle Verde, 3",38010,D273,Denno,Scuola Primo Grado,,,www.icbassaanaunia.it,Statale,Normale,POINT (11.048770039830714 46.27019999840772)
1211,Nord Est,Trento,TNEE82903E,"Denno ""Mons.Simone Weber""","Via Severini, 26",38010,D273,Denno,Scuola Primaria,,,www.icbassaanaunia.it,Statale,Normale,POINT (11.04507999077677 46.27479998687039)
2099,Nord Est,Trento,TNEE833047,Dimaro Folgarida - Dimaro,"Piazza Madonna Della Pace, 14",38025,M366,Dimaro Folgarida,Scuola Primaria,,,www.icbassavaldisole.it,Statale,Normale,POINT (10.875909966824537 46.32623000365041)
5057,Nord Est,Trento,TNEE844101,Dro - Pietramurata,Piazza Mercato,38070,D371,Dro,Scuola Primaria,,,www.istitutovalledeilaghidro.it,Statale,Normale,POINT (10.945346219184415 46.01707424805509)
5057,Nord Est,Trento,TNEE84409V,Dro,Piazza Repubblica,38074,D371,Dro,Scuola Primaria,,,www.istitutovalledeilaghidro.it,Statale,Normale,POINT (10.910665067336836 45.96136504596163)
5057,Nord Est,Trento,TNMM84403G,"Dro ""Nuova Europa""","Via Sant'Antonio, 3",38074,D371,Dro,Scuola Primo Grado,,,www.icvalledeilaghi.it,Statale,Normale,POINT (10.908490005372329 45.95941998342025)
481,Nord Est,Trento,TNEE81401P,Fierozzo - San Felice,"Loc. Maso Ronca, 1",38050,D573,Fierozzo,Scuola Primaria,,,www.icpergine1.it,Statale,Di Montagna,POINT (11.318700000000035 46.110690000000034)
3150,Nord Est,Trento,TNMM804013,"Folgaria  ""Pia Rella""","Piazza G.Marconi, 85",38064,D651,Folgaria,Scuola Primo Grado,,,www.icfolgarialavaroneluserna,Statale,Normale,POINT (11.172596330772746 45.91501912889739)
3150,Nord Est,Trento,TNEE804025,"Folgaria  ""Simone Lauton""","Via S.D'Acquisto, 21",38064,D651,Folgaria,Scuola Primaria,,,www.icfolgarialavaroneluserna,Statale,Normale,POINT (11.183790000000045 45.91417000000007)
3150,Nord Est,Trento,TNIC804002,"""Folgaria, Lavarone E Luserna""","P.Zza G.Marconi, 85",38064,D651,Folgaria,Istituto Comprensivo,segr.rella.folgaria@scuole.provincia.tn.it,ic.folgaria-lavarone@pec.provincia.tn.it,,Statale,Normale,POINT (11.172596330772746 45.91501912889739)
1319,Nord Est,Trento,TNEE817038,"Fornace ""Amabile Girardi""","Via Dei Mori, 2",38040,D714,Fornace,Scuola Primaria,,,http://iccivezzano.infovals.eu,Statale,Normale,POINT (11.205200073870458 46.1170200263695)
2520,Nord Est,Trento,TNEE82203Q,Giovo - Verla,"Via Grec, 2",38030,E048,Giovo,Scuola Primaria,,,www.iccembra.it,Statale,Normale,POINT (11.155910364315428 46.159223757329194)
2520,Nord Est,Trento,TNMM82203P,Giovo - Verla,"Via Dell'Oratorio, 15",38030,E048,Giovo,Scuola Primo Grado,,,www.iccembra.it,Statale,Normale,POINT (11.154464099464569 46.15719552846012)
749,Nord Est,Trento,TNEE834032,"Giustino ""Vincenzo Gabriotti""",Via Presanella 79,38086,E065,Giustino,Scuola Primaria,,,icvalrendena.it,Statale,Normale,POINT (10.769003651346154 46.14743465311878)
2086,Nord Est,Trento,TNMM812023,"Grigno ""Fante Silvano""",Viale Trento,38055,E178,Grigno,Scuola Primo Grado,,,www.icborgovalsugana.edu.it,Statale,Normale,POINT (11.629412368818546 46.0156622637938)
2086,Nord Est,Trento,TNEE812024,Grigno,"Via C.Battisti, 23",38055,E178,Grigno,Scuola Primaria,,,www.icborgovalsugana.edu.it,Statale,Normale,POINT (11.635355035122867 46.01596088808513)
2754,Nord Est,Trento,TNEE84501A,"Isera  ""Damiano Chiesa""","Piazza D.Chiesa, 1",38060,E334,Isera,Scuola Primaria,,,www.isera-rovereto.it,Statale,Normale,POINT (11.008990030274248 45.88565001538285)
1186,Nord Est,Trento,TNMM804024,"Lavarone  ""Giovanni Prati""","Piazza Italia, 33",38046,E492,Lavarone,Scuola Primo Grado,,,www.icfolgarialavaroneluserna,Statale,Normale,POINT (11.251860033372338 45.9413700159366)
1186,Nord Est,Trento,TNEE804014,Lavarone,Via Marconi,38040,E492,Lavarone,Scuola Primaria,,,www.icfolgarialavaroneluserna,Statale,Normale,POINT (11.273413482750428 45.93957364746854)
9119,Nord Est,Trento,TNEE825026,"Lavis - Pressano ""Don L.Milani""","Via C.A.Pilati, 31",38015,E500,Lavis,Scuola Primaria,,,www.iclavis.it,Statale,Normale,POINT (11.105438922490773 46.15164169129115)
9119,Nord Est,Trento,TNMM825014,"Lavis ""Aldo Stainer""","Via Carlo Sette, 13/A",38015,E500,Lavis,Scuola Primo Grado,,,www.iclavis.it,Statale,Normale,POINT (11.11352996486869 46.13761999930145)
